frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776809006296,1776809006302,1776809006413,117,111,6
1,1776809006433,1776809006447,1776809006570,137,123,14
2,1776809006535,1776809006523,1776809006640,105,117,12
3,1776809006597,1776809006598,1776809006714,117,116,1
4,1776809006669,1776809006677,1776809006785,116,108,8
5,1776809006726,1776809006735,1776809006852,126,117,9
6,1776809006801,1776809006809,1776809006925,124,116,8
7,1776809006839,1776809006875,1776809006992,153,117,36
8,1776809006905,1776809006906,1776809007057,152,151,1
9,1776809007006,1776809006967,1776809007123,117,156,39
10,1776809007069,1776809007049,1776809007189,120,140,20
11,1776809007126,1776809007112,1776809007255,129,143,14
12,1776809007169,1776809007169,1776809007321,152,152,0
13,1776809007260,1776809007238,1776809007386,126,148,22
14,1776809007339,1776809007301,1776809007452,113,151,38
15,1776809007405,1776809007368,1776809007518,113,150,37
16,1776809007472,1776809007421,1776809007583,111,162,51
17,1776809007526,1776809007506,1776809007649,123,143,20
18,1776809007591,1776809007574,1776809007714,123,140,17
19,1776809007643,1776809007643,1776809007779,136,136,0
20,1776809007737,1776809007699,1776809007845,108,146,38
21,1776809007791,1776809007775,1776809007910,119,135,16
22,1776809007836,1776809007836,1776809007975,139,139,0
23,1776809007935,1776809007901,1776809008040,105,139,34
24,1776809008003,1776809007968,1776809008106,103,138,35
25,1776809008066,1776809008034,1776809008171,105,137,32
26,1776809008114,1776809008114,1776809008236,122,122,0
27,1776809008171,1776809008171,1776809008302,131,131,0
28,1776809008244,1776809008244,1776809008367,123,123,0
29,1776809008314,1776809008306,1776809008432,118,126,8
30,1776809008368,1776809008374,1776809008497,129,123,6
31,1776809008404,1776809008434,1776809008563,159,129,30
32,1776809008503,1776809008510,1776809008628,125,118,7
33,1776809008571,1776809008552,1776809008693,122,141,19
34,1776809008636,1776809008642,1776809008760,124,118,6
35,1776809008670,1776809008706,1776809008826,156,120,36
36,1776809008742,1776809008756,1776809008891,149,135,14
37,1776809008802,1776809008851,1776809008957,155,106,49
38,1776809008906,1776809008900,1776809009023,117,123,6
39,1776809008970,1776809008970,1776809009089,119,119,0
40,1776809009027,1776809009021,1776809009156,129,135,6
41,1776809009108,1776809009108,1776809009221,113,113,0
42,1776809009169,1776809009169,1776809009288,119,119,0
43,1776809009236,1776809009236,1776809009354,118,118,0
44,1776809009303,1776809009303,1776809009420,117,117,0
45,1776809009338,1776809009303,1776809009486,148,183,35
46,1776809009439,1776809009446,1776809009553,114,107,7
47,1776809009504,1776809009504,1776809009619,115,115,0
48,1776809009568,1776809009568,1776809009684,116,116,0
49,1776809009638,1776809009638,1776809009751,113,113,0
50,1776809009706,1776809009713,1776809009817,111,104,7
51,1776809009767,1776809009767,1776809009883,116,116,0
52,1776809009836,1776809009836,1776809009951,115,115,0
53,1776809009906,1776809009906,1776809010017,111,111,0
54,1776809009969,1776809009969,1776809010082,113,113,0
55,1776809010006,1776809009969,1776809010150,144,181,37
56,1776809010108,1776809010067,1776809010217,109,150,41
57,1776809010169,1776809010169,1776809010282,113,113,0
58,1776809010238,1776809010244,1776809010348,110,104,6
59,1776809010308,1776809010244,1776809010414,106,170,64
60,1776809010371,1776809010378,1776809010480,109,102,7
61,1776809010438,1776809010438,1776809010548,110,110,0
62,1776809010506,1776809010506,1776809010615,109,109,0
63,1776809010568,1776809010568,1776809010681,113,113,0
64,1776809010639,1776809010568,1776809010748,109,180,71
65,1776809010702,1776809010709,1776809010814,112,105,7
66,1776809010768,1776809010768,1776809010880,112,112,0
67,1776809010835,1776809010835,1776809010945,110,110,0
68,1776809010906,1776809010900,1776809011011,105,111,6
69,1776809010926,1776809010900,1776809011076,150,176,26
70,1776809011034,1776809011034,1776809011141,107,107,0
71,1776809011107,1776809011101,1776809011207,100,106,6
72,1776809011138,1776809011169,1776809011272,134,103,31
73,1776809011201,1776809011169,1776809011337,136,168,32
74,1776809011260,1776809011244,1776809011402,142,158,16
75,1776809011367,1776809011304,1776809011468,101,164,63
76,1776809011404,1776809011374,1776809011533,129,159,30
77,1776809011466,1776809011435,1776809011599,133,164,31
78,1776809011505,1776809011505,1776809011664,159,159,0
79,1776809011605,1776809011621,1776809011729,124,108,16
80,1776809011672,1776809011688,1776809011794,122,106,16
81,1776809011741,1776809011756,1776809011859,118,103,15
82,1776809011806,1776809011756,1776809011924,118,168,50
83,1776809011865,1776809011851,1776809011990,125,139,14
84,1776809011939,1776809011900,1776809012056,117,156,39
85,1776809011992,1776809011975,1776809012122,130,147,17
86,1776809012035,1776809012041,1776809012187,152,146,6
87,1776809012105,1776809012111,1776809012252,147,141,6
88,1776809012207,1776809012173,1776809012318,111,145,34
89,1776809012269,1776809012237,1776809012384,115,147,32
90,1776809012331,1776809012318,1776809012450,119,132,13
91,1776809012404,1776809012373,1776809012514,110,141,31
92,1776809012472,1776809012447,1776809012580,108,133,25
93,1776809012545,1776809012508,1776809012646,101,138,37
94,1776809012604,1776809012563,1776809012711,107,148,41
95,1776809012604,1776809012641,1776809012776,172,135,37
96,1776809012739,1776809012699,1776809012842,103,143,40
97,1776809012805,1776809012752,1776809012907,102,155,53
98,1776809012866,1776809012840,1776809012974,108,134,26
99,1776809012938,1776809012898,1776809013039,101,141,40
100,1776809013005,1776809012974,1776809013105,100,131,31
101,1776809013065,1776809013052,1776809013171,106,119,13
102,1776809013103,1776809013103,1776809013237,134,134,0
103,1776809013169,1776809013175,1776809013302,133,127,6
104,1776809013206,1776809013237,1776809013367,161,130,31
105,1776809013272,1776809013308,1776809013433,161,125,36
106,1776809013345,1776809013364,1776809013498,153,134,19
107,1776809013405,1776809013441,1776809013563,158,122,36
108,1776809013526,1776809013507,1776809013629,103,122,19
109,1776809013568,1776809013575,1776809013694,126,119,7
110,1776809013605,1776809013649,1776809013760,155,111,44
111,1776809013707,1776809013700,1776809013826,119,126,7
112,1776809013739,1776809013772,1776809013891,152,119,33
113,1776809013804,1776809013836,1776809013957,153,121,32
114,1776809013867,1776809013899,1776809014023,156,124,32
115,1776809013938,1776809013969,1776809014089,151,120,31
116,1776809014001,1776809014037,1776809014155,154,118,36
117,1776809014107,1776809014094,1776809014221,114,127,13
118,1776809014162,1776809014154,1776809014287,125,133,8
119,1776809014205,1776809014247,1776809014354,149,107,42
120,1776809014309,1776809014309,1776809014420,111,111,0
121,1776809014373,1776809014378,1776809014484,111,106,5
122,1776809014438,1776809014438,1776809014550,112,112,0
123,1776809014471,1776809014502,1776809014616,145,114,31
124,1776809014533,1776809014565,1776809014681,148,116,32
125,1776809014627,1776809014622,1776809014748,121,126,5
126,1776809014706,1776809014712,1776809014814,108,102,6
127,1776809014768,1776809014774,1776809014879,111,105,6
128,1776809014838,1776809014774,1776809014945,107,171,64
129,1776809014908,1776809014908,1776809015011,103,103,0
130,1776809014968,1776809014968,1776809015077,109,109,0
131,1776809015036,1776809015036,1776809015143,107,107,0
132,1776809015107,1776809015036,1776809015208,101,172,71
133,1776809015171,1776809015036,1776809015274,103,238,135
134,1776809015236,1776809015236,1776809015340,104,104,0
135,1776809015272,1776809015298,1776809015406,134,108,26
136,1776809015372,1776809015298,1776809015472,100,174,74
137,1776809015407,1776809015378,1776809015538,131,160,29
138,1776809015460,1776809015443,1776809015604,144,161,17
