frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
104,1777419271039,1777419271233,1777419271647,608,414,194
105,1777419271039,1777419271268,1777419271717,678,449,229
106,1777419271039,1777419271268,1777419271784,745,516,229
107,1777419271039,1777419271563,1777419271853,814,290,524
108,1777419271039,1777419271595,1777419271921,882,326,556
109,1777419271039,1777419271629,1777419271989,950,360,590
110,1777419271598,1777419271765,1777419272057,459,292,167
111,1777419271598,1777419271765,1777419272125,527,360,167
112,1777419271598,1777419271898,1777419272191,593,293,300
113,1777419271598,1777419271898,1777419272260,662,362,300
114,1777419271598,1777419271965,1777419272329,731,364,367
115,1777419271598,1777419272100,1777419272396,798,296,502
116,1777419271598,1777419272164,1777419272464,866,300,566
117,1777419272037,1777419272197,1777419272531,494,334,160
118,1777419272037,1777419272231,1777419272598,561,367,194
119,1777419272037,1777419272264,1777419272666,629,402,227
120,1777419272037,1777419272463,1777419272734,697,271,426
121,1777419272037,1777419272497,1777419272801,764,304,460
122,1777419272037,1777419272529,1777419272870,833,341,492
123,1777419272037,1777419272595,1777419272937,900,342,558
124,1777419272622,1777419272699,1777419273003,381,304,77
125,1777419272646,1777419272799,1777419273071,425,272,153
126,1777419272646,1777419272838,1777419273139,493,301,192
127,1777419272751,1777419272899,1777419273208,457,309,148
128,1777419272751,1777419272899,1777419273277,526,378,148
129,1777419272751,1777419272964,1777419273345,594,381,213
130,1777419272751,1777419272997,1777419273413,662,416,246
131,1777419272751,1777419272997,1777419273481,730,484,246
132,1777419272751,1777419272997,1777419273549,798,552,246
133,1777419272751,1777419273028,1777419273618,867,590,277
134,1777419272751,1777419273028,1777419273687,936,659,277
135,1777419272751,1777419273028,1777419273756,1005,728,277
136,1777419272751,1777419273028,1777419273826,1075,798,277
137,1777419272751,1777419273028,1777419273896,1145,868,277
138,1777419272751,1777419273232,1777419273965,1214,733,481
139,1777419272751,1777419273232,1777419274035,1284,803,481
140,1777419272751,1777419273232,1777419274104,1353,872,481
141,1777419272751,1777419273232,1777419274174,1423,942,481
142,1777419272751,1777419273363,1777419274242,1491,879,612
143,1777419272751,1777419273363,1777419274310,1559,947,612
144,1777419272751,1777419273363,1777419274379,1628,1016,612
145,1777419272751,1777419273896,1777419274447,1696,551,1145
146,1777419272751,1777419274096,1777419274517,1766,421,1345
147,1777419272751,1777419274133,1777419274585,1834,452,1382
148,1777419272751,1777419274165,1777419274653,1902,488,1414
149,1777419274151,1777419274235,1777419274722,571,487,84
150,1777419274151,1777419274261,1777419274789,638,528,110
151,1777419274151,1777419274261,1777419274858,707,597,110
152,1777419274151,1777419274261,1777419274926,775,665,110
153,1777419274151,1777419274261,1777419274996,845,735,110
154,1777419274151,1777419274631,1777419275064,913,433,480
155,1777419274151,1777419274664,1777419275133,982,469,513
156,1777419274151,1777419274664,1777419275203,1052,539,513
157,1777419274151,1777419274697,1777419275273,1122,576,546
158,1777419274151,1777419274697,1777419275342,1191,645,546
159,1777419274151,1777419274697,1777419275411,1260,714,546
160,1777419274151,1777419275096,1777419275480,1329,384,945
161,1777419274151,1777419275096,1777419275549,1398,453,945
162,1777419274151,1777419275196,1777419275618,1467,422,1045
163,1777419274151,1777419275196,1777419275686,1535,490,1045
164,1777419274151,1777419275196,1777419275754,1603,558,1045
165,1777419274151,1777419275196,1777419275822,1671,626,1045
166,1777419274151,1777419275196,1777419275892,1741,696,1045
167,1777419274151,1777419275561,1777419275961,1810,400,1410
168,1777419274151,1777419275658,1777419276030,1879,372,1507
169,1777419274151,1777419275698,1777419276098,1947,400,1547
170,1777419274151,1777419275731,1777419276167,2016,436,1580
171,1777419274151,1777419275731,1777419276236,2085,505,1580
172,1777419274151,1777419275731,1777419276304,2153,573,1580
173,1777419274151,1777419275961,1777419276372,2221,411,1810
174,1777419274151,1777419275961,1777419276440,2289,479,1810
175,1777419274151,1777419275999,1777419276509,2358,510,1848
176,1777419275953,1777419276032,1777419276577,624,545,79
177,1777419275953,1777419276032,1777419276646,693,614,79
178,1777419275953,1777419276032,1777419276714,761,682,79
179,1777419275953,1777419276032,1777419276783,830,751,79
180,1777419275953,1777419276494,1777419276852,899,358,541
181,1777419276516,1777419276527,1777419276920,404,393,11
182,1777419276516,1777419276642,1777419276986,470,344,126
183,1777419276516,1777419276697,1777419277054,538,357,181
184,1777419276516,1777419276730,1777419277122,606,392,214
185,1777419276516,1777419276763,1777419277189,673,426,247
186,1777419276516,1777419276795,1777419277258,742,463,279
187,1777419276516,1777419276795,1777419277327,811,532,279
188,1777419276516,1777419276795,1777419277396,880,601,279
189,1777419276516,1777419277024,1777419277465,949,441,508
190,1777419276516,1777419277096,1777419277533,1017,437,580
191,1777419276516,1777419277128,1777419277601,1085,473,612
192,1777419276516,1777419277128,1777419277669,1153,541,612
193,1777419276516,1777419277128,1777419277738,1222,610,612
194,1777419276516,1777419277128,1777419277806,1290,678,612
195,1777419276516,1777419277429,1777419277875,1359,446,913
196,1777419276516,1777419277492,1777419277944,1428,452,976
197,1777419276516,1777419277581,1777419278013,1497,432,1065
198,1777419276516,1777419277628,1777419278081,1565,453,1112
199,1777419276516,1777419277628,1777419278149,1633,521,1112
200,1777419277697,1777419277859,1777419278217,520,358,162
201,1777419277697,1777419277892,1777419278286,589,394,195
202,1777419277796,1777419277924,1777419278354,558,430,128
203,1777419277796,1777419277962,1777419278424,628,462,166
204,1777419277796,1777419277996,1777419278492,696,496,200
205,1777419277796,1777419277996,1777419278561,765,565,200
206,1777419277796,1777419277996,1777419278630,834,634,200
207,1777419277796,1777419277996,1777419278699,903,703,200
208,1777419277796,1777419278360,1777419278768,972,408,564
209,1777419277796,1777419278393,1777419278836,1040,443,597
210,1777419277796,1777419278496,1777419278904,1108,408,700
211,1777419277796,1777419278496,1777419278972,1176,476,700
212,1777419277796,1777419278602,1777419279042,1246,440,806
213,1777419277796,1777419278659,1777419279111,1315,452,863
214,1777419278384,1777419278659,1777419279180,796,521,275
215,1777419278384,1777419278726,1777419279247,863,521,342
216,1777419278384,1777419278760,1777419279315,931,555,376
217,1777419278384,1777419278760,1777419279383,999,623,376
218,1777419278384,1777419278760,1777419279451,1067,691,376
219,1777419278384,1777419278760,1777419279519,1135,759,376
220,1777419278384,1777419278760,1777419279587,1203,827,376
221,1777419278384,1777419278760,1777419279656,1272,896,376
222,1777419278384,1777419279228,1777419279726,1342,498,844
223,1777419278384,1777419279228,1777419279795,1411,567,844
224,1777419278384,1777419279294,1777419279864,1480,570,910
225,1777419278384,1777419279294,1777419279933,1549,639,910
226,1777419278384,1777419279294,1777419280001,1617,707,910
227,1777419278384,1777419279294,1777419280070,1686,776,910
228,1777419278384,1777419279294,1777419280139,1755,845,910
229,1777419278384,1777419279294,1777419280207,1823,913,910
230,1777419278384,1777419279294,1777419280276,1892,982,910
231,1777419278384,1777419279294,1777419280346,1962,1052,910
232,1777419278384,1777419279294,1777419280415,2031,1121,910
233,1777419278384,1777419279294,1777419280483,2099,1189,910
234,1777419278384,1777419279791,1777419280552,2168,761,1407
235,1777419278384,1777419279791,1777419280621,2237,830,1407
236,1777419278384,1777419279829,1777419280689,2305,860,1445
237,1777419278384,1777419279829,1777419280757,2373,928,1445
238,1777419278384,1777419279829,1777419280827,2443,998,1445
239,1777419278384,1777419279829,1777419280895,2511,1066,1445
240,1777419278384,1777419279829,1777419280964,2580,1135,1445
241,1777419278384,1777419279829,1777419281032,2648,1203,1445
242,1777419278384,1777419280661,1777419281101,2717,440,2277
243,1777419278384,1777419280766,1777419281169,2785,403,2382
244,1777419278384,1777419280792,1777419281237,2853,445,2408
245,1777419278384,1777419280897,1777419281304,2920,407,2513
246,1777419278384,1777419280897,1777419281372,2988,475,2513
247,1777419280897,1777419280897,1777419281440,543,543,0
248,1777419280897,1777419280897,1777419281508,611,611,0
249,1777419280897,1777419281160,1777419281576,679,416,263
250,1777419280897,1777419281194,1777419281644,747,450,297
251,1777419280897,1777419281258,1777419281712,815,454,361
252,1777419280897,1777419281297,1777419281779,882,482,400
253,1777419280897,1777419281297,1777419281847,950,550,400
254,1777419280897,1777419281297,1777419281916,1019,619,400
255,1777419280897,1777419281297,1777419281984,1087,687,400
256,1777419280897,1777419281297,1777419282053,1156,756,400
257,1777419280897,1777419281563,1777419282121,1224,558,666
258,1777419280897,1777419281596,1777419282190,1293,594,699
259,1777419280897,1777419281596,1777419282259,1362,663,699
260,1777419280897,1777419281596,1777419282327,1430,731,699
261,1777419280897,1777419281596,1777419282396,1499,800,699
262,1777419280897,1777419281596,1777419282464,1567,868,699
263,1777419280897,1777419281596,1777419282533,1636,937,699
264,1777419280897,1777419281596,1777419282602,1705,1006,699
265,1777419280897,1777419281596,1777419282671,1774,1075,699
266,1777419280897,1777419282159,1777419282739,1842,580,1262
267,1777419280897,1777419282192,1777419282808,1911,616,1295
268,1777419280897,1777419282192,1777419282876,1979,684,1295
269,1777419280897,1777419282192,1777419282945,2048,753,1295
270,1777419280897,1777419282192,1777419283015,2118,823,1295
271,1777419280897,1777419282192,1777419283084,2187,892,1295
272,1777419280897,1777419282192,1777419283152,2255,960,1295
273,1777419280897,1777419282192,1777419283221,2324,1029,1295
274,1777419280897,1777419282192,1777419283289,2392,1097,1295
275,1777419280897,1777419282829,1777419283359,2462,530,1932
276,1777419280897,1777419282893,1777419283427,2530,534,1996
277,1777419282810,1777419282927,1777419283496,686,569,117
278,1777419282810,1777419282927,1777419283564,754,637,117
279,1777419282810,1777419282927,1777419283633,823,706,117
280,1777419282810,1777419282927,1777419283703,893,776,117
281,1777419282810,1777419282927,1777419283773,963,846,117
282,1777419282810,1777419282927,1777419283842,1032,915,117
283,1777419282810,1777419282927,1777419283910,1100,983,117
284,1777419282810,1777419282927,1777419283980,1170,1053,117
285,1777419282810,1777419283326,1777419284049,1239,723,516
286,1777419282810,1777419283360,1777419284118,1308,758,550
287,1777419282810,1777419283360,1777419284186,1376,826,550
288,1777419282810,1777419283360,1777419284255,1445,895,550
289,1777419282810,1777419283360,1777419284324,1514,964,550
290,1777419282810,1777419283360,1777419284392,1582,1032,550
291,1777419282810,1777419283360,1777419284461,1651,1101,550
292,1777419282810,1777419283360,1777419284530,1720,1170,550
293,1777419282810,1777419283360,1777419284599,1789,1239,550
294,1777419282810,1777419283360,1777419284668,1858,1308,550
295,1777419282810,1777419284122,1777419284738,1928,616,1312
296,1777419282810,1777419284122,1777419284806,1996,684,1312
297,1777419282810,1777419284122,1777419284875,2065,753,1312
298,1777419282810,1777419284122,1777419284943,2133,821,1312
299,1777419282810,1777419284122,1777419285012,2202,890,1312
