frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
0,1776809047959,1776809047964,1776809048270,311,306,5
1,1776809048138,1776809048132,1776809048450,312,318,6
2,1776809048203,1776809048223,1776809048524,321,301,20
3,1776809048259,1776809048291,1776809048594,335,303,32
4,1776809048326,1776809048350,1776809048664,338,314,24
5,1776809048401,1776809048408,1776809048731,330,323,7
6,1776809048499,1776809048505,1776809048821,322,316,6
7,1776809048560,1776809048554,1776809048892,332,338,6
8,1776809048606,1776809048637,1776809048958,352,321,31
9,1776809048668,1776809048701,1776809049025,357,324,33
10,1776809048762,1776809048768,1776809049091,329,323,6
11,1776809048806,1776809048837,1776809049157,351,320,31
12,1776809048868,1776809048905,1776809049224,356,319,37
13,1776809048967,1776809048967,1776809049291,324,324,0
14,1776809049041,1776809048967,1776809049357,316,390,74
15,1776809049103,1776809049117,1776809049425,322,308,14
16,1776809049136,1776809049167,1776809049492,356,325,31
17,1776809049239,1776809049239,1776809049558,319,319,0
18,1776809049272,1776809049297,1776809049625,353,328,25
19,1776809049340,1776809049371,1776809049692,352,321,31
20,1776809049403,1776809049434,1776809049758,355,324,31
21,1776809049472,1776809049515,1776809049824,352,309,43
22,1776809049571,1776809049565,1776809049890,319,325,6
23,1776809049643,1776809049643,1776809049956,313,313,0
24,1776809049672,1776809049708,1776809050022,350,314,36
25,1776809049744,1776809049767,1776809050089,345,322,23
26,1776809049842,1776809049843,1776809050154,312,311,1
27,1776809049905,1776809049905,1776809050221,316,316,0
28,1776809049973,1776809049973,1776809050288,315,315,0
29,1776809050042,1776809050048,1776809050356,314,308,6
30,1776809050107,1776809050101,1776809050422,315,321,6
31,1776809050138,1776809050167,1776809050490,352,323,29
32,1776809050241,1776809050167,1776809050557,316,390,74
33,1776809050301,1776809050307,1776809050624,323,317,6
34,1776809050339,1776809050365,1776809050692,353,327,26
35,1776809050441,1776809050421,1776809050759,318,338,20
36,1776809050503,1776809050503,1776809050825,322,322,0
37,1776809050570,1776809050563,1776809050892,322,329,7
38,1776809050641,1776809050622,1776809050957,316,335,19
39,1776809050700,1776809050700,1776809051023,323,323,0
