frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777425046380,1777425053067,1777425058351,1777425044025,1777425063695,17315,10628,5344,19670,14326
1,1777425046389,1777425053067,1777425058351,1777425044025,1777425063887,17498,10820,5536,19862,14326
2,1777425046389,1777425053077,1777425058351,1777425044047,1777425063968,17579,10891,5617,19921,14304
3,1777425046389,1777425053077,1777425058351,1777425044093,1777425064051,17662,10974,5700,19958,14258
4,1777425046398,1777425053077,1777425058351,1777425044093,1777425064133,17735,11056,5782,20040,14258
5,1777425046398,1777425053077,1777425058351,1777425044114,1777425064217,17819,11140,5866,20103,14237
6,1777425046398,1777425053077,1777425058351,1777425044158,1777425064298,17900,11221,5947,20140,14193
7,1777425046398,1777425053096,1777425058351,1777425044180,1777425064385,17987,11289,6034,20205,14171
8,1777425046398,1777425053096,1777425058351,1777425044226,1777425064466,18068,11370,6115,20240,14125
9,1777425046398,1777425053096,1777425058351,1777425044280,1777425064549,18151,11453,6198,20269,14071
10,1777425046407,1777425053096,1777425058351,1777425044347,1777425064631,18224,11535,6280,20284,14004
11,1777425046407,1777425053096,1777425058351,1777425044413,1777425064713,18306,11617,6362,20300,13938
12,1777425046426,1777425053096,1777425058351,1777425044413,1777425064795,18369,11699,6444,20382,13938
13,1777425046426,1777425053096,1777425058351,1777425044459,1777425064876,18450,11780,6525,20417,13892
14,1777425046426,1777425053096,1777425058351,1777425044581,1777425064957,18531,11861,6606,20376,13770
15,1777425046426,1777425053096,1777425058351,1777425044581,1777425065038,18612,11942,6687,20457,13770
16,1777425046426,1777425053096,1777425058351,1777425044759,1777425065120,18694,12024,6769,20361,13592
17,1777425046426,1777425053096,1777425058351,1777425044847,1777425065201,18775,12105,6850,20354,13504
18,1777425046426,1777425053096,1777425058351,1777425044958,1777425065283,18857,12187,6932,20325,13393
19,1777425046426,1777425053096,1777425058351,1777425045025,1777425065365,18939,12269,7014,20340,13326
20,1777425046426,1777425053106,1777425058351,1777425045047,1777425065448,19022,12342,7097,20401,13304
21,1777425046435,1777425053106,1777425058415,1777425045113,1777425065529,19094,12423,7114,20416,13302
22,1777425046435,1777425053106,1777425058415,1777425045158,1777425065609,19174,12503,7194,20451,13257
23,1777425046435,1777425053106,1777425058415,1777425045180,1777425065691,19256,12585,7276,20511,13235
24,1777425046435,1777425053106,1777425058415,1777425045247,1777425065772,19337,12666,7357,20525,13168
25,1777425046435,1777425053106,1777425058415,1777425045313,1777425065854,19419,12748,7439,20541,13102
26,1777425046435,1777425053106,1777425058415,1777425045380,1777425065936,19501,12830,7521,20556,13035
27,1777425046444,1777425053106,1777425058415,1777425045380,1777425066018,19574,12912,7603,20638,13035
28,1777425046444,1777425053106,1777425058415,1777425045380,1777425066099,19655,12993,7684,20719,13035
29,1777425046444,1777425053115,1777425058415,1777425045425,1777425066181,19737,13066,7766,20756,12990
30,1777425046444,1777425053115,1777425058415,1777425045446,1777425066261,19817,13146,7846,20815,12969
31,1777425046454,1777425053115,1777425058415,1777425045446,1777425066342,19888,13227,7927,20896,12969
32,1777425046454,1777425053115,1777425058415,1777425045493,1777425066424,19970,13309,8009,20931,12922
33,1777425046454,1777425053115,1777425058415,1777425045513,1777425066505,20051,13390,8090,20992,12902
34,1777425046454,1777425053115,1777425058415,1777425045513,1777425066587,20133,13472,8172,21074,12902
35,1777425046454,1777425053125,1777425058415,1777425045513,1777425066670,20216,13545,8255,21157,12902
36,1777425046474,1777425053125,1777425058458,1777425045513,1777425066751,20277,13626,8293,21238,12945
37,1777425046474,1777425053125,1777425058458,1777425045559,1777425066831,20357,13706,8373,21272,12899
38,1777425046474,1777425053134,1777425058458,1777425045559,1777425066912,20438,13778,8454,21353,12899
39,1777425046474,1777425053134,1777425058458,1777425045579,1777425066992,20518,13858,8534,21413,12879
40,1777425046483,1777425053134,1777425058458,1777425045579,1777425067073,20590,13939,8615,21494,12879
41,1777425046483,1777425053134,1777425058458,1777425045626,1777425067154,20671,14020,8696,21528,12832
42,1777425046483,1777425053134,1777425058458,1777425045646,1777425067235,20752,14101,8777,21589,12812
43,1777425046483,1777425053144,1777425058458,1777425045692,1777425067316,20833,14172,8858,21624,12766
44,1777425046483,1777425053144,1777425058458,1777425045759,1777425067397,20914,14253,8939,21638,12699
45,1777425046483,1777425053144,1777425058458,1777425045846,1777425067478,20995,14334,9020,21632,12612
46,1777425046483,1777425053144,1777425058458,1777425045846,1777425067559,21076,14415,9101,21713,12612
47,1777425046492,1777425053144,1777425058458,1777425045846,1777425067640,21148,14496,9182,21794,12612
48,1777425046492,1777425053144,1777425058458,1777425045892,1777425067722,21230,14578,9264,21830,12566
49,1777425046492,1777425053144,1777425058458,1777425045913,1777425067803,21311,14659,9345,21890,12545
50,1777425046492,1777425053144,1777425058458,1777425045913,1777425067885,21393,14741,9427,21972,12545
51,1777425046492,1777425053164,1777425058458,1777425045913,1777425067968,21476,14804,9510,22055,12545
