frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
59,1777424304378,1777424299019,1777424305285,1777424306208,1777424306370,1992,7351,1085,162,7189
60,1777424304378,1777424299019,1777424305285,1777424306382,1777424306451,2073,7432,1166,69,7363
61,1777424304378,1777424299019,1777424305819,1777424306452,1777424306532,2154,7513,713,80,7433
62,1777424304378,1777424299019,1777424305921,1777424306550,1777424306613,2235,7594,692,63,7531
63,1777424304378,1777424299019,1777424305982,1777424306550,1777424306693,2315,7674,711,143,7531
64,1777424304378,1777424299019,1777424305982,1777424306607,1777424306774,2396,7755,792,167,7588
65,1777424304378,1777424299019,1777424305982,1777424306817,1777424306855,2477,7836,873,38,7798
66,1777424304378,1777424299019,1777424305982,1777424306851,1777424306936,2558,7917,954,85,7832
67,1777424304378,1777424299019,1777424305982,1777424306851,1777424307017,2639,7998,1035,166,7832
68,1777424304378,1777424299019,1777424306151,1777424307052,1777424307099,2721,8080,948,47,8033
69,1777424304378,1777424299019,1777424306151,1777424307147,1777424307181,2803,8162,1030,34,8128
70,1777424304378,1777424299019,1777424306679,1777424307147,1777424307261,2883,8242,582,114,8128
71,1777424304378,1777424299019,1777424306679,1777424307252,1777424307342,2964,8323,663,90,8233
72,1777424304378,1777424299019,1777424306715,1777424307329,1777424307422,3044,8403,707,93,8310
73,1777424304378,1777424299019,1777424307014,1777424307451,1777424307503,3125,8484,489,52,8432
74,1777424304378,1777424299019,1777424307014,1777424307451,1777424307583,3205,8564,569,132,8432
75,1777424304378,1777424299019,1777424307051,1777424307615,1777424307664,3286,8645,613,49,8596
76,1777424304378,1777424299019,1777424307218,1777424307650,1777424307744,3366,8725,526,94,8631
77,1777424304378,1777424299019,1777424307218,1777424307740,1777424307825,3447,8806,607,85,8721
78,1777424307177,1777424299019,1777424307285,1777424307815,1777424307906,729,8887,621,91,8796
79,1777424307177,1777424299019,1777424307285,1777424307850,1777424307985,808,8966,700,135,8831
80,1777424307177,1777424299019,1777424307351,1777424307948,1777424308066,889,9047,715,118,8929
81,1777424307177,1777424299019,1777424307351,1777424308017,1777424308147,970,9128,796,130,8998
82,1777424307250,1777424299019,1777424307419,1777424308147,1777424308229,979,9210,810,82,9128
83,1777424307250,1777424299019,1777424307419,1777424308282,1777424308309,1059,9290,890,27,9263
84,1777424307250,1777424299019,1777424307514,1777424308282,1777424308389,1139,9370,875,107,9263
85,1777424307250,1777424299019,1777424307514,1777424308351,1777424308470,1220,9451,956,119,9332
86,1777424307250,1777424299019,1777424307514,1777424308481,1777424308551,1301,9532,1037,70,9462
87,1777424307250,1777424299019,1777424307550,1777424308584,1777424308632,1382,9613,1082,48,9565
88,1777424307250,1777424299019,1777424307550,1777424308617,1777424308713,1463,9694,1163,96,9598
89,1777424307250,1777424299019,1777424307550,1777424308617,1777424308794,1544,9775,1244,177,9598
90,1777424307250,1777424299019,1777424307550,1777424308672,1777424308874,1624,9855,1324,202,9653
91,1777424307250,1777424299019,1777424308054,1777424308785,1777424308955,1705,9936,901,170,9766
92,1777424307250,1777424299019,1777424308054,1777424308806,1777424309036,1786,10017,982,230,9787
