frame_index,cam_a_ts_ms,cam_b_ts_ms,playback_time_ms,latency_a_ms,latency_b_ms,sync_error_ms
120,1776805034679,1776805034618,1776805034777,98,159,61
121,1776805034679,1776805034687,1776805034845,166,158,8
122,1776805034781,1776805034687,1776805034913,132,226,94
123,1776805034781,1776805034816,1776805034983,202,167,35
124,1776805034916,1776805034816,1776805035050,134,234,100
125,1776805035048,1776805035016,1776805035117,69,101,32
126,1776805035048,1776805035081,1776805035183,135,102,33
127,1776805035142,1776805035081,1776805035249,107,168,61
128,1776805035142,1776805035148,1776805035317,175,169,6
129,1776805035249,1776805035148,1776805035383,134,235,101
130,1776805035249,1776805035148,1776805035449,200,301,101
131,1776805035410,1776805035346,1776805035515,105,169,64
132,1776805035410,1776805035346,1776805035581,171,235,64
133,1776805035410,1776805035413,1776805035649,239,236,3
134,1776805035545,1776805035413,1776805035715,170,302,132
135,1776805035716,1776805035615,1776805035783,67,168,101
136,1776805035716,1776805035615,1776805035858,142,243,101
137,1776805035851,1776805035748,1776805035925,74,177,103
138,1776805035851,1776805035748,1776805035992,141,244,103
139,1776805035851,1776805035882,1776805036060,209,178,31
140,1776805035982,1776805035882,1776805036128,146,246,100
141,1776805035982,1776805036014,1776805036198,216,184,32
142,1776805036144,1776805036014,1776805036266,122,252,130
143,1776805036144,1776805036151,1776805036335,191,184,7
144,1776805036278,1776805036151,1776805036401,123,250,127
145,1776805036278,1776805036350,1776805036468,190,118,72
146,1776805036380,1776805036350,1776805036536,156,186,30
147,1776805036380,1776805036480,1776805036604,224,124,100
