frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777424624577,1777424620604,1777424624620,1777424625259,1777424625447,870,4843,827,188,4655
1,1777424624577,1777424620604,1777424624715,1777424625362,1777424625645,1068,5041,930,283,4758
2,1777424624590,1777424620604,1777424624913,1777424625418,1777424625726,1136,5122,813,308,4814
3,1777424624590,1777424620604,1777424624913,1777424625527,1777424625809,1219,5205,896,282,4923
4,1777424624590,1777424620604,1777424625043,1777424625595,1777424625894,1304,5290,851,299,4991
5,1777424624590,1777424620604,1777424625111,1777424625793,1777424625976,1386,5372,865,183,5189
6,1777424624590,1777424620604,1777424625315,1777424625893,1777424626063,1473,5459,748,170,5289
7,1777424624590,1777424620604,1777424625412,1777424625991,1777424626142,1552,5538,730,151,5387
8,1777424624590,1777424620604,1777424625412,1777424626059,1777424626222,1632,5618,810,163,5455
9,1777424624590,1777424620604,1777424625680,1777424626126,1777424626304,1714,5700,624,178,5522
10,1777424624590,1777424620604,1777424625876,1777424626229,1777424626385,1795,5781,509,156,5625
11,1777424624590,1777424620604,1777424625876,1777424626264,1777424626466,1876,5862,590,202,5660
12,1777424624590,1777424620604,1777424626043,1777424626393,1777424626548,1958,5944,505,155,5789
13,1777424624590,1777424620604,1777424626146,1777424626427,1777424626629,2039,6025,483,202,5823
14,1777424626027,1777424620604,1777424626183,1777424626528,1777424626711,684,6107,528,183,5924
15,1777424626027,1777424620604,1777424626183,1777424626618,1777424626793,766,6189,610,175,6014
16,1777424626212,1777424620604,1777424626244,1777424626659,1777424626876,664,6272,632,217,6055
17,1777424626237,1777424620604,1777424626344,1777424626728,1777424626957,720,6353,613,229,6124
18,1777424626237,1777424620604,1777424626344,1777424626728,1777424627036,799,6432,692,308,6124
19,1777424626237,1777424620604,1777424626344,1777424626851,1777424627118,881,6514,774,267,6247
20,1777424626237,1777424620604,1777424626512,1777424626891,1777424627198,961,6594,686,307,6287
21,1777424626237,1777424620604,1777424626512,1777424626994,1777424627280,1043,6676,768,286,6390
22,1777424626237,1777424620604,1777424626512,1777424627027,1777424627360,1123,6756,848,333,6423
