frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
120,1777497100548,1777497100524,1777497100742,194,218,24
121,1777497100581,1777497100547,1777497100799,218,252,34
122,1777497100613,1777497100653,1777497100857,244,204,40
123,1777497100653,1777497100653,1777497100914,261,261,0
124,1777497100653,1777497100653,1777497100972,319,319,0
125,1777497100653,1777497100686,1777497101032,379,346,33
126,1777497100818,1777497100719,1777497101092,274,373,99
127,1777497100915,1777497100758,1777497101149,234,391,157
128,1777497100948,1777497100758,1777497101205,257,447,190
129,1777497100981,1777497100822,1777497101262,281,440,159
130,1777497101152,1777497100856,1777497101319,167,463,296
131,1777497101152,1777497100921,1777497101375,223,454,231
132,1777497101152,1777497100954,1777497101430,278,476,198
133,1777497101152,1777497100954,1777497101488,336,534,198
134,1777497101152,1777497100954,1777497101547,395,593,198
135,1777497101449,1777497100987,1777497101609,160,622,462
136,1777497101449,1777497100987,1777497101666,217,679,462
137,1777497101551,1777497100987,1777497101722,171,735,564
138,1777497101616,1777497100987,1777497101780,164,793,629
139,1777497101681,1777497100987,1777497101838,157,851,694
140,1777497101719,1777497100987,1777497101896,177,909,732
141,1777497101784,1777497101088,1777497101954,170,866,696
142,1777497101816,1777497101123,1777497102011,195,888,693
143,1777497101882,1777497101156,1777497102070,188,914,726
144,1777497101953,1777497101156,1777497102127,174,971,797
145,1777497102017,1777497101190,1777497102183,166,993,827
146,1777497102084,1777497101190,1777497102240,156,1050,894
147,1777497102117,1777497101190,1777497102298,181,1108,927
148,1777497102182,1777497101190,1777497102356,174,1166,992
149,1777497102248,1777497101190,1777497102415,167,1225,1058
150,1777497102312,1777497101190,1777497102473,161,1283,1122
151,1777497102351,1777497101190,1777497102530,179,1340,1161
152,1777497102416,1777497101190,1777497102589,173,1399,1226
153,1777497102483,1777497101190,1777497102648,165,1458,1293
154,1777497102550,1777497101190,1777497102705,155,1515,1360
155,1777497102582,1777497101190,1777497102763,181,1573,1392
156,1777497102646,1777497101190,1777497102823,177,1633,1456
