frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
0,1777496909006,1777496908986,1777496909422,416,436,20
1,1777496909173,1777496909138,1777496909580,407,442,35
2,1777496909173,1777496909205,1777496909634,461,429,32
3,1777496909272,1777496909244,1777496909689,417,445,28
4,1777496909341,1777496909271,1777496909748,407,477,70
5,1777496909401,1777496909271,1777496909802,401,531,130
6,1777496909435,1777496909317,1777496909858,423,541,118
7,1777496909501,1777496909383,1777496909923,422,540,118
8,1777496909573,1777496909404,1777496909978,405,574,169
9,1777496909573,1777496909404,1777496910033,460,629,169
10,1777496909667,1777496909404,1777496910090,423,686,263
11,1777496909740,1777496909404,1777496910149,409,745,336
12,1777496909805,1777496909444,1777496910209,404,765,361
13,1777496909838,1777496909444,1777496910267,429,823,394
14,1777496909903,1777496909444,1777496910323,420,879,459
15,1777496909937,1777496909484,1777496910379,442,895,453
16,1777496910005,1777496909504,1777496910433,428,929,501
17,1777496910071,1777496909549,1777496910489,418,940,522
18,1777496910140,1777496909571,1777496910545,405,974,569
19,1777496910167,1777496909571,1777496910602,435,1031,596
20,1777496910238,1777496909616,1777496910659,421,1043,622
21,1777496910304,1777496909637,1777496910715,411,1078,667
22,1777496910370,1777496909684,1777496910772,402,1088,686
23,1777496910403,1777496909750,1777496910830,427,1080,653
24,1777496910467,1777496909770,1777496910889,422,1119,697
25,1777496910506,1777496909770,1777496910947,441,1177,736
26,1777496910604,1777496909770,1777496911004,400,1234,834
27,1777496910636,1777496909815,1777496911064,428,1249,821
28,1777496910706,1777496909837,1777496911122,416,1285,869
29,1777496910771,1777496909837,1777496911179,408,1342,934
30,1777496910806,1777496909837,1777496911235,429,1398,969
31,1777496910871,1777496909837,1777496911292,421,1455,1034
32,1777496910935,1777496909883,1777496911350,415,1467,1052
33,1777496911002,1777496909905,1777496911407,405,1502,1097
34,1777496911039,1777496909950,1777496911463,424,1513,1089
35,1777496911100,1777496909950,1777496911520,420,1570,1150
36,1777496911171,1777496909970,1777496911580,409,1610,1201
37,1777496911209,1777496909970,1777496911640,431,1670,1239
