frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
0,1777497026961,1777497026982,1777497027071,110,89,21
1,1777497027131,1777497027127,1777497027222,91,95,4
2,1777497027131,1777497027127,1777497027277,146,150,4
3,1777497027226,1777497027256,1777497027338,112,82,30
4,1777497027265,1777497027327,1777497027393,128,66,62
5,1777497027293,1777497027360,1777497027451,158,91,67
6,1777497027326,1777497027382,1777497027508,182,126,56
7,1777497027391,1777497027458,1777497027567,176,109,67
8,1777497027391,1777497027533,1777497027623,232,90,142
9,1777497027391,1777497027593,1777497027680,289,87,202
10,1777497027425,1777497027656,1777497027737,312,81,231
11,1777497027595,1777497027691,1777497027794,199,103,96
12,1777497027595,1777497027726,1777497027849,254,123,131
13,1777497027595,1777497027726,1777497027907,312,181,131
14,1777497027760,1777497027726,1777497027965,205,239,34
15,1777497027760,1777497027860,1777497028024,264,164,100
16,1777497027760,1777497028022,1777497028082,322,60,262
17,1777497027925,1777497028057,1777497028139,214,82,132
18,1777497027970,1777497028057,1777497028195,225,138,87
19,1777497028095,1777497028092,1777497028251,156,159,3
20,1777497028126,1777497028227,1777497028305,179,78,101
21,1777497028159,1777497028294,1777497028362,203,68,135
22,1777497028226,1777497028316,1777497028418,192,102,90
23,1777497028226,1777497028389,1777497028475,249,86,163
24,1777497028259,1777497028424,1777497028533,274,109,165
25,1777497028259,1777497028487,1777497028591,332,104,228
26,1777497028391,1777497028525,1777497028648,257,123,134
27,1777497028429,1777497028626,1777497028704,275,78,197
28,1777497028495,1777497028626,1777497028760,265,134,131
29,1777497028568,1777497028698,1777497028818,250,120,130
30,1777497028630,1777497028698,1777497028875,245,177,68
31,1777497028729,1777497028793,1777497028932,203,139,64
32,1777497028729,1777497028848,1777497028987,258,139,119
33,1777497028729,1777497028924,1777497029043,314,119,195
34,1777497028729,1777497028924,1777497029100,371,176,195
35,1777497028729,1777497028958,1777497029159,430,201,229
36,1777497028795,1777497029027,1777497029217,422,190,232
37,1777497028892,1777497029027,1777497029273,381,246,135
38,1777497028996,1777497029048,1777497029330,334,282,52
39,1777497028996,1777497029089,1777497029385,389,296,93
40,1777497028996,1777497029159,1777497029441,445,282,163
41,1777497028996,1777497029192,1777497029498,502,306,196
42,1777497029094,1777497029259,1777497029557,463,298,165
43,1777497029160,1777497029325,1777497029614,454,289,165
44,1777497029224,1777497029387,1777497029670,446,283,163
45,1777497029263,1777497029428,1777497029725,462,297,165
46,1777497029328,1777497029449,1777497029781,453,332,121
47,1777497029426,1777497029492,1777497029837,411,345,66
48,1777497029529,1777497029581,1777497029893,364,312,52
49,1777497029635,1777497029656,1777497029949,314,293,21
50,1777497029635,1777497029656,1777497030004,369,348,21
51,1777497029725,1777497029724,1777497030061,336,337,1
52,1777497029802,1777497029855,1777497030119,317,264,53
53,1777497029895,1777497029958,1777497030177,282,219,63
54,1777497029962,1777497030058,1777497030232,270,174,96
55,1777497029962,1777497030091,1777497030288,326,197,129
56,1777497029995,1777497030091,1777497030344,349,253,96
57,1777497030028,1777497030125,1777497030401,373,276,97
58,1777497030028,1777497030259,1777497030460,432,201,231
59,1777497030028,1777497030357,1777497030518,490,161,329
60,1777497030028,1777497030357,1777497030576,548,219,329
61,1777497030061,1777497030391,1777497030635,574,244,330
62,1777497030095,1777497030458,1777497030694,599,236,363
63,1777497030202,1777497030557,1777497030752,550,195,355
64,1777497030202,1777497030692,1777497030808,606,116,490
65,1777497030202,1777497030692,1777497030863,661,171,490
66,1777497030202,1777497030692,1777497030920,718,228,490
67,1777497030262,1777497030692,1777497030978,716,286,430
68,1777497030295,1777497030754,1777497031037,742,283,459
69,1777497030362,1777497030889,1777497031095,733,206,527
70,1777497030457,1777497030958,1777497031151,694,193,501
71,1777497030457,1777497030958,1777497031207,750,249,501
72,1777497030530,1777497030992,1777497031264,734,272,462
73,1777497030569,1777497031092,1777497031321,752,229,523
74,1777497030726,1777497031125,1777497031379,653,254,399
75,1777497030726,1777497031254,1777497031437,711,183,528
